P,I,D,CTE,Total Error,Speed,Steer Value,Steering Angle
0.7598,0.7598,0.7598,0.7598,0.288748,0,-7.67398,0
0.7598,1.5196,0,0.7598,0.433072,0.438,-0.07598,0
0.7598,2.2794,0,0.7598,0.529288,1.314,-0.07598,-25
0.7598,3.0392,0,0.7598,0.60145,1.752,-0.07598,-1.4632
0.7598,3.799,0,0.7598,0.65918,2.19,-0.07598,-1.4632
0.7598,4.5588,0,0.7598,0.707288,2.628,-0.07598,-1.4632
0.7598,5.3186,0,0.7598,0.748523,3.066,-0.07598,-1.4632
0.7598,6.0784,0,0.7598,0.784604,3.066,-0.07598,-1.4632
0.7598,6.8382,0,0.7598,0.816676,3.504,-0.07598,-1.4632
0.7598,7.598,0,0.7598,0.845541,3.942,-0.07598,-1.4632
0.7598,8.3578,0,0.7598,0.871782,4.38,-0.07598,-1.4632
0.7598,9.1176,0,0.7598,0.895836,4.818,-0.07598,-1.4632
0.7598,9.8774,0,0.7598,0.918039,4.818,-0.07598,-1.4632
0.7598,10.6372,0,0.7598,0.938657,5.256,-0.07598,-1.4632
0.7598,11.397,0,0.7598,0.9579,5.694,-0.07598,-1.4632
0.7598,12.1568,0,0.7598,0.975941,6.132,-0.07598,-1.4632
0.7599,12.9167,0.0001,0.7599,0.992924,6.57,-0.07699,-1.4632
0.7599,13.6766,0,0.7599,1.00896,6.7858,-0.07599,-1.4632
0.7598,14.4364,-0.0001,0.7598,1.02416,4.8752,-0.07498,-1.4884
0.7598,15.1962,0,0.7598,1.03859,4.8752,-0.07598,-1.4884
0.7597,15.9559,-0.0001,0.7597,1.05233,3.2079,-0.07497,-1.4382
0.7595,16.7154,-0.0002,0.7595,1.06544,0.5991,-0.07395,-1.4632
0.7594,17.4748,-0.0001,0.7594,1.07798,0.7055,-0.07494,-1.4379
0.7593,18.2341,-0.0001,0.7593,1.08999,1.3041,-0.07493,-1.4124
0.7593,18.9934,0,0.7593,1.10152,1.3041,-0.07593,-1.4124
0.7591,19.7525,-0.0002,0.7591,1.1126,1.6661,-0.07391,-1.4369
0.759,20.5115,-0.0001,0.759,1.12327,1.8192,-0.0749,-1.4619
0.7589,21.2704,-0.0001,0.7589,1.13355,1.7932,-0.07489,-1.4114
0.7588,22.0292,-0.0001,0.7588,1.14348,1.6417,-0.07488,-1.4362
0.7586,22.7878,-0.0002,0.7586,1.15307,1.4308,-0.07386,-1.4359
0.7586,23.5464,0,0.7586,1.16235,1.4308,-0.07586,-1.4359
0.7585,24.3049,-0.0001,0.7585,1.17134,1.2035,-0.07485,-1.4102
0.7583,25.0632,-0.0002,0.7583,1.18006,1.0108,-0.07383,-1.4602
0.7581,25.8213,-0.0002,0.7581,1.18851,0.8885,-0.07381,-1.4349
